,Address.City,Address.State,Address.Street,Address.Zip,Code,Lat,LineCode1,LineCode2,LineCode3,LineCode4,Lon,Name,StationTogether1,StationTogether2
77,Capitol Heights,MD,100 Addison Road S.,20743,G03,38.886713,BL,SV,,,-76.893592,Addison Road-Seat Pleasant,,
78,Landover,MD,300 Garrett Morgan Blvd.,20785,G04,38.8913,BL,SV,,,-76.8682,Morgan Boulevard,,
79,Largo,MD,Largo Town Center 9000 Lottsford Road,20774,G05,38.9008,BL,SV,,,-76.8449,Largo Town Center,,
80,Alexandria,VA,5690 Eisenhower Avenue,22310,J02,38.799193,BL,,,,-77.129407,Van Dorn Street,,
81,Springfield,VA,6880 Frontier Drive,22150,J03,38.766129,BL,,,,-77.168797,Franconia-Springfield,,
82,Arlington,VA,2100 Wilson Blvd,22201,K01,38.891499,OR,SV,,,-77.08391,Court House,,
83,Arlington,VA,3100 Wilson Blvd,22201,K02,38.886373,OR,SV,,,-77.096963,Clarendon,,
84,Arlington,VA,3600 Fairfax Drive,22201,K03,38.88331,OR,SV,,,-77.104267,Virginia Square-GMU,,
85,Arlington,VA,4230 Fairfax Drive,22201,K04,38.882071,OR,SV,,,-77.111845,Ballston-MU,,
86,Arlington,VA,2001 N. Sycamore St.,22205,K05,38.885841,OR,SV,,,-77.157177,East Falls Church,,
87,Falls Church,VA,7040 Haycock Road,22043,K06,38.90067,OR,,,,-77.189394,West Falls Church-VT/UVA,,
88,Vienna,VA,2700 Gallows Road,22180,K07,38.883015,OR,,,,-77.228939,Dunn Loring-Merrifield,,
89,Fairfax,VA,9550 Saintsbury Drive,22031,K08,38.877693,OR,,,,-77.271562,Vienna/Fairfax-GMU,,
90,McLean,VA,1824 Dolley Madison Boulevard,22102,N01,38.924478,SV,,,,-77.210167,McLean,,
91,McLean,VA,1943 Chain Bridge Road,22102,N02,38.920056,SV,,,,-77.223314,Tysons Corner,,
92,Vienna,VA,8305 Leesburg Pike,22182,N03,38.919749,SV,,,,-77.235192,Greensboro,,
93,Vienna,VA,1576 Spring Hill Road,22182,N04,38.928051,SV,,,,-77.233656,Spring Hill,,
94,Reston,VA,1862 Wiehle Avenue,20190,N06,38.947753,SV,,,,-77.340179,Wiehle-Reston East,,
