home_lat,home_lon,work_lat,work_lon
38.8096324,-77.02283643,38.8096324,-77.02283643
38.8096324,-77.02283643,38.82641682,-76.99597908
38.8096324,-77.02283643,38.83996392,-77.00067029
38.8096324,-77.02283643,38.84042391,-76.9833259
38.8096324,-77.02283643,38.84186464,-77.00192877
38.8096324,-77.02283643,38.85280397,-76.97014327
38.8096324,-77.02283643,38.85919458,-76.97222365
38.8096324,-77.02283643,38.85936131,-76.96323218
38.8096324,-77.02283643,38.86527694,-76.98731555
38.8096324,-77.02283643,38.87019046,-76.96950049
38.8096324,-77.02283643,38.87417369,-76.99976302
38.8096324,-77.02283643,38.87471454,-77.0156375
38.8096324,-77.02283643,38.87553209,-76.98564186
38.8096324,-77.02283643,38.87786225,-77.03437325
38.8096324,-77.02283643,38.88023959,-76.98728308
38.8096324,-77.02283643,38.88129386,-76.99389976
38.8096324,-77.02283643,38.88205036,-76.9858834
38.8096324,-77.02283643,38.88207032,-77.02451512
38.8096324,-77.02283643,38.88297987,-77.0033724
38.8096324,-77.02283643,38.88344117,-77.01972757
38.8096324,-77.02283643,38.88362626,-77.01377968
38.8096324,-77.02283643,38.88439618,-76.988553
38.8096324,-77.02283643,38.88535555,-76.98085023
38.8096324,-77.02283643,38.88550043,-76.95147955
38.8096324,-77.02283643,38.8874763,-76.99880141
38.8096324,-77.02283643,38.8875746,-76.97151957
38.8096324,-77.02283643,38.89538647,-77.00081224
38.8096324,-77.02283643,38.89612766,-76.99667972
38.8096324,-77.02283643,38.89625783,-77.0146534
38.8096324,-77.02283643,38.89627629,-77.04292119
38.8096324,-77.02283643,38.89743112,-77.02045237
38.8096324,-77.02283643,38.89755634,-76.94484528
38.8096324,-77.02283643,38.897956,-76.99329252
38.8096324,-77.02283643,38.89799732,-76.93258123
38.8096324,-77.02283643,38.89801164,-77.02717393
38.8096324,-77.02283643,38.89874923,-77.05467122
38.8096324,-77.02283643,38.89964623,-77.0618145
38.8096324,-77.02283643,38.90045743,-77.01456899
38.8096324,-77.02283643,38.90065602,-76.97852368
38.8096324,-77.02283643,38.90069992,-77.04713527
38.8096324,-77.02283643,38.90217222,-77.02994423
38.8096324,-77.02283643,38.9022102,-76.95448698
38.8096324,-77.02283643,38.90253233,-77.0425942
38.8096324,-77.02283643,38.9033784,-77.0041467
38.8096324,-77.02283643,38.90385206,-77.03468821
38.8096324,-77.02283643,38.9041102,-77.07111089
38.8096324,-77.02283643,38.90452631,-77.01519888
38.8096324,-77.02283643,38.90492176,-77.04897729
38.8096324,-77.02283643,38.9051569,-77.02442185
38.8096324,-77.02283643,38.90643619,-77.05232668
38.8096324,-77.02283643,38.90645843,-77.06592563
38.8096324,-77.02283643,38.90720628,-77.04183726
38.8096324,-77.02283643,38.90830019,-77.05419866
38.8096324,-77.02283643,38.90909218,-77.06081952
38.8096324,-77.02283643,38.9091533,-77.01064917
38.8096324,-77.02283643,38.90931566,-77.07455457
38.8096324,-77.02283643,38.91053861,-77.02451482
38.8096324,-77.02283643,38.91053945,-76.99087517
38.8096324,-77.02283643,38.91150838,-77.04595279
38.8096324,-77.02283643,38.91169876,-77.03078512
38.8096324,-77.02283643,38.91198164,-77.02831769
38.8096324,-77.02283643,38.91207602,-77.01922267
38.8096324,-77.02283643,38.91266636,-77.00635363
38.8096324,-77.02283643,38.91454576,-77.04372464
38.8096324,-77.02283643,38.91548151,-77.0341528
38.8096324,-77.02283643,38.91552654,-77.0269825
38.8096324,-77.02283643,38.91706039,-77.0712757
38.8096324,-77.02283643,38.91748831,-76.99035048
38.8096324,-77.02283643,38.91811139,-77.03422762
38.8096324,-77.02283643,38.91877681,-77.02814588
38.8096324,-77.02283643,38.92052368,-77.02428515
38.8096324,-77.02283643,38.92095151,-77.04301181
38.8096324,-77.02283643,38.92133926,-77.01773285
38.8096324,-77.02283643,38.92264653,-76.9977218
38.8096324,-77.02283643,38.92444798,-76.96461733
38.8096324,-77.02283643,38.92486859,-76.99087275
38.8096324,-77.02283643,38.92731855,-77.06984356
38.8096324,-77.02283643,38.92747225,-77.05982648
38.8096324,-77.02283643,38.9279974,-77.08589857
38.8096324,-77.02283643,38.92801313,-77.05026843
38.8096324,-77.02283643,38.93015966,-77.05856177
38.8096324,-77.02283643,38.93080972,-77.03462047
38.8096324,-77.02283643,38.93373104,-77.03125977
38.8096324,-77.02283643,38.93467316,-77.01049834
38.8096324,-77.02283643,38.93633412,-77.07528733
38.8096324,-77.02283643,38.93809269,-77.00138814
38.8096324,-77.02283643,38.93848882,-77.09331826
38.8096324,-77.02283643,38.93963486,-77.07829574
38.8096324,-77.02283643,38.94354289,-76.99391516
38.8096324,-77.02283643,38.94372863,-77.07003837
38.8096324,-77.02283643,38.94706996,-77.07174265
38.8096324,-77.02283643,38.95202514,-77.06556347
38.8096324,-77.02283643,38.952555,-77.07627268
38.8096324,-77.02283643,38.95493589,-77.01478434
38.8096324,-77.02283643,38.95496321,-77.0105466
38.8096324,-77.02283643,38.95627562,-77.02605595
38.8096324,-77.02283643,38.95739565,-77.08688934
38.8096324,-77.02283643,38.95804609,-77.06969787
38.8096324,-77.02283643,38.95933179,-77.08133247
38.8096324,-77.02283643,38.96393943,-77.00691037
38.8096324,-77.02283643,38.97105024,-77.01351589
38.8096324,-77.02283643,38.98059882,-77.02917435
38.8096324,-77.02283643,38.98670216,-77.0321483
38.82204504,-77.00947897,38.8096324,-77.02283643
38.82204504,-77.00947897,38.82641682,-76.99597908
38.82204504,-77.00947897,38.82797649,-77.0066917
38.82204504,-77.00947897,38.83996392,-77.00067029
38.82204504,-77.00947897,38.84042391,-76.9833259
38.82204504,-77.00947897,38.85157227,-76.99759371
38.82204504,-77.00947897,38.85919458,-76.97222365
38.82204504,-77.00947897,38.85936131,-76.96323218
38.82204504,-77.00947897,38.87553209,-76.98564186
38.82204504,-77.00947897,38.87786225,-77.03437325
38.82204504,-77.00947897,38.88023959,-76.98728308
38.82204504,-77.00947897,38.88129386,-76.99389976
38.82204504,-77.00947897,38.88207032,-77.02451512
38.82204504,-77.00947897,38.88297987,-77.0033724
38.82204504,-77.00947897,38.88344117,-77.01972757
38.82204504,-77.00947897,38.88439618,-76.988553
38.82204504,-77.00947897,38.8875746,-76.97151957
38.82204504,-77.00947897,38.89339859,-76.99260146
38.82204504,-77.00947897,38.89612766,-76.99667972
38.82204504,-77.00947897,38.89625783,-77.0146534
38.82204504,-77.00947897,38.89743112,-77.02045237
38.82204504,-77.00947897,38.89799732,-76.93258123
38.82204504,-77.00947897,38.89801164,-77.02717393
38.82204504,-77.00947897,38.89964623,-77.0618145
38.82204504,-77.00947897,38.90045743,-77.01456899
38.82204504,-77.00947897,38.90069992,-77.04713527
38.82204504,-77.00947897,38.90180875,-76.99032054
38.82204504,-77.00947897,38.90196493,-76.99670152
38.82204504,-77.00947897,38.90217222,-77.02994423
38.82204504,-77.00947897,38.90253233,-77.0425942
38.82204504,-77.00947897,38.9033784,-77.0041467
38.82204504,-77.00947897,38.90385206,-77.03468821
38.82204504,-77.00947897,38.90492176,-77.04897729
38.82204504,-77.00947897,38.90643619,-77.05232668
38.82204504,-77.00947897,38.90720628,-77.04183726
38.82204504,-77.00947897,38.90830019,-77.05419866
38.82204504,-77.00947897,38.90879375,-77.03328163
38.82204504,-77.00947897,38.9091533,-77.01064917
38.82204504,-77.00947897,38.90931566,-77.07455457
38.82204504,-77.00947897,38.91003438,-77.01482781
38.82204504,-77.00947897,38.91053861,-77.02451482
38.82204504,-77.00947897,38.91161652,-76.96380558
38.82204504,-77.00947897,38.91433016,-77.06071162
38.82204504,-77.00947897,38.91552654,-77.0269825
38.82204504,-77.00947897,38.91748831,-76.99035048
38.82204504,-77.00947897,38.91877681,-77.02814588
38.82204504,-77.00947897,38.92052368,-77.02428515
38.82204504,-77.00947897,38.92133926,-77.01773285
38.82204504,-77.00947897,38.92166117,-77.03981267
38.82204504,-77.00947897,38.92209241,-77.06361718
38.82204504,-77.00947897,38.92444798,-76.96461733
38.82204504,-77.00947897,38.93080972,-77.03462047
38.82204504,-77.00947897,38.93467316,-77.01049834
38.82204504,-77.00947897,38.93758417,-76.99265752
38.82204504,-77.00947897,38.93772659,-77.0219204
38.82204504,-77.00947897,38.93809269,-77.00138814
38.82204504,-77.00947897,38.93963486,-77.07829574
38.82204504,-77.00947897,38.94145238,-77.10386152
38.82204504,-77.00947897,38.9419686,-77.02245854
38.82204504,-77.00947897,38.94465226,-77.02937292
38.82204504,-77.00947897,38.94506487,-77.03458049
38.82204504,-77.00947897,38.94831236,-76.98423898
38.82204504,-77.00947897,38.952555,-77.07627268
38.82204504,-77.00947897,38.95493589,-77.01478434
38.82204504,-77.00947897,38.95496321,-77.0105466
38.82204504,-77.00947897,38.95627562,-77.02605595
38.82204504,-77.00947897,38.95739565,-77.08688934
38.82204504,-77.00947897,38.95933179,-77.08133247
38.82204504,-77.00947897,38.9673098,-77.04048296
38.82204504,-77.00947897,38.97105024,-77.01351589
38.82204504,-77.00947897,38.98059882,-77.02917435
38.82204504,-77.00947897,38.98670216,-77.0321483
38.82572535,-77.01193256,38.8096324,-77.02283643
38.82572535,-77.01193256,38.82204504,-77.00947897
38.82572535,-77.01193256,38.82572535,-77.01193256
38.82572535,-77.01193256,38.82641682,-76.99597908
38.82572535,-77.01193256,38.83317015,-77.01192444
38.82572535,-77.01193256,38.83996392,-77.00067029
38.82572535,-77.01193256,38.84042391,-76.9833259
38.82572535,-77.01193256,38.84241783,-77.02307164
38.82572535,-77.01193256,38.85157227,-76.99759371
38.82572535,-77.01193256,38.85166381,-76.98635763
38.82572535,-77.01193256,38.85490654,-76.96256196
38.82572535,-77.01193256,38.85524974,-76.96668369
38.82572535,-77.01193256,38.85687095,-76.99024252
38.82572535,-77.01193256,38.85919458,-76.97222365
38.82572535,-77.01193256,38.86499612,-76.99692675
38.82572535,-77.01193256,38.86527694,-76.98731555
38.82572535,-77.01193256,38.86678745,-77.0110482
38.82572535,-77.01193256,38.87019046,-76.96950049
38.82572535,-77.01193256,38.87186307,-76.98231638
38.82572535,-77.01193256,38.87307613,-76.97441584
38.82572535,-77.01193256,38.87316374,-76.94390024
38.82572535,-77.01193256,38.87417369,-76.99976302
38.82572535,-77.01193256,38.87527139,-76.95407769
38.82572535,-77.01193256,38.87553209,-76.98564186
