,Lat,Lon,Name,Routes,StopID
0,38.670006,-77.010283,LIVINGSTON RD + INDIAN HEAD HWY,"[u'W19', u'W19v2']",3000037
1,38.670116,-77.010666,LIVINGSTON RD + INDIAN HEAD HWY,"[u'W19', u'W19v1', u'W19v2']",3000038
2,38.710349,-76.982108,MADISON DR + MONROE AVE,[u'W13'],3000064
3,38.7104,-76.982269,MADISON DR + MONROE AVE,[u'W13'],3000065
4,38.710526,-76.983626,MADISON DR + HARRISON AVE,[u'W13'],3000066
5,38.710526,-76.983917,MADISON RD + HARRISON AVE,[u'W13'],3000067
6,38.71101,-76.98484,MADISON DR + JEFFERSON RD,[u'W13'],3000070
7,38.711063,-76.986098,JEFFERSON RD + JACKSON DR,[u'W13'],3000071
8,38.71112,-76.98648,JACKSON DR + JEFFERSON RD,[u'W13'],3000072
9,38.711188,-76.985168,JEFFERSON RD + MADISON DR,[u'W13'],3000073
10,38.711967,-76.981849,MONROE AVE + JEFFERSON RD,[u'W13'],3000074
11,38.712074,-76.986328,JACKSON DR + ADAMS DR,[u'W13'],3000075
12,38.712142,-76.980727,JEFFERSON RD + CLARION RD,[u'W13'],3000076
13,38.712189,-76.981544,JEFFERSON RD + MONROE AVE,[u'W13'],3000077
14,38.712364,-76.980536,CLARION RD + JEFFERSON RD,[u'W13'],3000078
15,38.712418,-76.986358,JACKSON DR + ADAMS DR,[u'W13'],3000079
16,38.712882,-76.980498,CLARION RD + CLARION TERR,[u'W13'],3000080
17,38.713191,-76.9804,CLARION RD + CLARION TERR,[u'W13'],3000081
18,38.713191,-76.986243,JACKSON DR + WASHINGTON LA,[u'W13'],3000082
19,38.713408,-76.980262,CLARION RD + LIVINGSTON RD,[u'W13'],3000083
20,38.713706,-76.986259,OLD FORT RD + OLD FORT RD,[u'W13'],3000084
21,38.715538,-76.986023,OLD FORT RD + VAN BUREN DR,[u'W13'],3000085
22,38.715549,-76.986037,OLD FORT RD + VAN BUREN DR,[u'W13'],3000086
23,38.716335,-77.000113,TANTALLON DR + ASBURY DR,"[u'P17', u'P18']",3000087
24,38.716396,-76.997024,TANTALLON DR + BUCKMASTER LA,"[u'P17', u'P18']",3000088
25,38.716396,-77.000595,TANTALLON DR + ASBURY DR,"[u'P17', u'P18']",3000089
26,38.7164,-76.996758,E TANTALLON DR + BUCKMASTER LN,"[u'P17', u'P18']",3000090
27,38.718192,-77.005393,FORT WASHINGTON RD + TANTALLON DR,"[u'P17', u'P18']",3000091
28,38.718266,-77.0055,FORT WASHINGTON RD + TANTALLON DR,"[u'P17', u'P18']",3000092
29,38.718451,-76.984206,OLD FORT RD + LIVINGSTON RD,[u'W13'],3000093
30,38.718513,-76.984206,OLD FORT RD + LIVINGSTON RD,[u'W13'],3000094
31,38.718738,-76.993972,GABLE LN + E TANTALLON DR,"[u'P17', u'P18']",3000095
32,38.718826,-76.993965,GABLE LN + E TANTALLON DR,"[u'P17', u'P18']",3000096
33,38.719788,-76.983718,OLD FORT RD + OLD PISCATAWAY RD,[u'W13'],3000097
34,38.719825,-76.983695,OLD FORT RD + OLD PISCATAWAY RD,[u'W13'],3000098
35,38.720768,-76.983352,OLD FORT RD + #12309,[u'W13'],3000099
36,38.7209,-76.983269,OLD FORT RD + #12309,[u'W13'],3000100
37,38.722327,-77.004227,FORT WASHINGTON RD + REXBURG AVE,"[u'P17', u'P18']",3000101
38,38.722588,-77.004363,FORT WASHINGTON RD + REXBURG AVE,"[u'P17', u'P18']",3000102
39,38.72366,-76.982108,OLD FORT RD + JOMAR DR,[u'W13'],3000103
40,38.723747,-76.982101,OLD FORT RD + JOMAR DR,[u'W13'],3000104
41,38.724376,-77.004715,FORT WASHINGTON RD + SWAN CREEK RD E,"[u'P17', u'P18']",3000105
42,38.724628,-77.004874,FORT WASHINGTON RD + SWAN CREEK RD,"[u'P17', u'P18']",3000106
43,38.726913,-76.980286,OLD FORT RD + #11818,[u'W13'],3000107
44,38.727187,-76.979934,OLD FORT RD + #11811,[u'W13'],3000108
45,38.729156,-77.004767,FORT WASHINGTON RD + LOURDES DR,"[u'P17', u'P18', u'P19']",3000109
46,38.72959,-77.004776,FORT WASHINGTON RD + AUTUMNWOOD LN,"[u'P17', u'P18', u'P19']",3000110
47,38.731223,-76.976096,OLD FORT RD + GALLAHAN RD,[u'W13'],3000113
48,38.731749,-76.976035,OLD FORT RD + GALLAHAN RD,[u'W13'],3000114
49,38.733643,-77.004256,FORT WASHINGTON RD + BEECH ST,"[u'P17', u'P18', u'P19']",3000116
50,38.735503,-76.9758,OLD FORT RD + FOLK DR,[u'W13'],3000117
51,38.73555,-76.975707,OLD FORT RD + VALLEY VIEW DR,[u'W13'],3000118
52,38.736004,-77.003501,FORT WASHINGTON RD + KIMBERLY WOODS LA,"[u'P17', u'P18', u'P19']",3000119
