,latitude,longitude,name,unique,detail,category,type
49,38.733601,-77.004334,FORT WASHINGTON RD + BEECH ST,3000116,P18,bus,bus
49,38.733601,-77.004334,FORT WASHINGTON RD + BEECH ST,3000116,P19,bus,bus
50,38.734873,-76.975929,OLD FORT RD + ARAGONA BLVD,3000117,W13,bus,bus
51,38.735543,-76.975675,OLD FORT RD + VALLEY VIEW DR,3000118,W13,bus,bus
52,38.735926,-77.003367,FORT WASHINGTON RD + KIMBERLY WOODS LN,3000119,P17,bus,bus
52,38.735926,-77.003367,FORT WASHINGTON RD + KIMBERLY WOODS LN,3000119,P18,bus,bus
52,38.735926,-77.003367,FORT WASHINGTON RD + KIMBERLY WOODS LN,3000119,P19,bus,bus
53,38.736362,-77.003459,FORT WASHINGTON RD + KIMBERLY WOODS LN,3000120,P17,bus,bus
53,38.736362,-77.003459,FORT WASHINGTON RD + KIMBERLY WOODS LN,3000120,P18,bus,bus
53,38.736362,-77.003459,FORT WASHINGTON RD + KIMBERLY WOODS LN,3000120,P19,bus,bus
54,38.73686,-76.975432,OLD FORT RD + TALL TIMBER CT,3000121,W13,bus,bus
55,38.737068,-76.975161,OLD FORT RD + THOMAS RD,3000122,W13,bus,bus
56,38.740017,-77.000969,FORT WASHINGTON RD + #11310,3000123,P17,bus,bus
56,38.740017,-77.000969,FORT WASHINGTON RD + #11310,3000123,P18,bus,bus
56,38.740017,-77.000969,FORT WASHINGTON RD + #11310,3000123,P19,bus,bus
57,38.739996,-76.973826,OLD FORT RD + THORNTON DR,3000124,W13,bus,bus
58,38.740167,-76.973596,OLD FORT RD + POWDER HORN DR,3000125,W13,bus,bus
59,38.740251,-77.000969,FORT WASHINGTON RD + #11310,3000126,P17,bus,bus
59,38.740251,-77.000969,FORT WASHINGTON RD + #11310,3000126,P18,bus,bus
59,38.740251,-77.000969,FORT WASHINGTON RD + #11310,3000126,P19,bus,bus
60,38.742781,-76.999027,LIVINGSTON RD + FORT WASHINGTON RD,3000127,P17,bus,bus
60,38.742781,-76.999027,LIVINGSTON RD + FORT WASHINGTON RD,3000127,P18,bus,bus
60,38.742781,-76.999027,LIVINGSTON RD + FORT WASHINGTON RD,3000127,P19,bus,bus
61,38.742841,-76.999214,LIVINGSTON RD + FORT WASHINGTON RD,3000128,P17,bus,bus
61,38.742841,-76.999214,LIVINGSTON RD + FORT WASHINGTON RD,3000128,P18,bus,bus
61,38.742841,-76.999214,LIVINGSTON RD + FORT WASHINGTON RD,3000128,P19,bus,bus
62,38.74415,-76.972836,OLD FORT RD + FRONTIER CT,3000129,W13,bus,bus
63,38.744647,-76.972954,OLD FORT RD + FRONTIER CT,3000130,W13,bus,bus
64,38.745083,-77.250056,FAIRFAX COUNTY PKWY + HOOES RD,5000001,18R,bus,bus
65,38.745792,-77.251663,FAIRFAX COUNTY PKWY + SEABROOK LN,5000002,18R,bus,bus
66,38.746777,-76.972923,OLD FORT RD + OLD FORT PL,3000131,W13,bus,bus
67,38.747017,-76.973062,OLD FORT RD + OLD FORT PL,3000132,W13,bus,bus
68,38.749134,-77.260239,FAIRFAX COUNTY PKY + MODISTO LN,5000003,18R,bus,bus
69,38.749263,-76.976224,OLD FORT RD + GRIFF DR,3000133,W13,bus,bus
70,38.749134,-77.261035,FAIRFAX COUNTY PKY + MODISTO LN,5000004,18R,bus,bus
71,38.749229,-76.976331,OLD FORT RD + THORNE DR,3000134,W13,bus,bus
71,38.749229,-76.976331,OLD FORT RD + THORNE DR,3000134,W14,bus,bus
72,38.751215,-77.266328,FAIRFAX COUNTY PKY + HUNTSMAN BLVD,5000005,18R,bus,bus
73,38.751776,-77.267224,FAIRFAX COUNTY PKY + HUNTSMAN BLVD,5000006,18R,bus,bus
74,38.751945,-77.272652,FAIRFAX COUNTY PKY + RESERVATION DR,5000007,18R,bus,bus
75,38.751881,-76.970331,ALLENTOWN RD + ALLEN GAYLE DR,3000137,W13,bus,bus
75,38.751881,-76.970331,ALLENTOWN RD + ALLEN GAYLE DR,3000137,W13v1,bus,bus
75,38.751881,-76.970331,ALLENTOWN RD + ALLEN GAYLE DR,3000137,W14,bus,bus
76,38.752049,-76.977998,ALLENTOWN RD + OLD FORT RD,3000138,W13,bus,bus
76,38.752049,-76.977998,ALLENTOWN RD + OLD FORT RD,3000138,W13v1,bus,bus
77,38.752151,-76.97811,ALLENTOWN RD + OLD FORT RD,3000139,W13,bus,bus
77,38.752151,-76.97811,ALLENTOWN RD + OLD FORT RD,3000139,W13c,bus,bus
77,38.752151,-76.97811,ALLENTOWN RD + OLD FORT RD,3000139,W14,bus,bus
78,38.75235,-77.266311,HUNTSMAN BLVD + FAIRFAX COUNTY PKY,5000008,18H,bus,bus
79,38.752218,-77.26668,HUNTSMAN BLVD + FAIRFAX COUNTY PKY,5000009,18H,bus,bus
80,38.752311,-76.974235,ALLENTOWN RD + GRIFF DR,3000141,W13,bus,bus
80,38.752311,-76.974235,ALLENTOWN RD + GRIFF DR,3000141,W13v1,bus,bus
81,38.75253,-76.974378,ALLENTOWN RD + GRIFF DR,3000142,W13,bus,bus
81,38.75253,-76.974378,ALLENTOWN RD + GRIFF DR,3000142,W13c,bus,bus
81,38.75253,-76.974378,ALLENTOWN RD + GRIFF DR,3000142,W14,bus,bus
82,38.7527,-77.273428,FAIRFAX COUNTY PKY + RESERVATION DR,5000010,18R,bus,bus
83,38.752897,-77.27261,RESERVATION DR + PARK HUNT CT,5000011,18H,bus,bus
84,38.753112,-77.272786,RESERVATION DR + HUNT SQUARE CT,5000012,18H,bus,bus
85,38.754304,-77.265001,HUNTSMAN BLVD + DOROTHY LN,5000013,18H,bus,bus
86,38.754455,-77.265158,HUNTSMAN BLVD + DOROTHY LN,5000014,18H,bus,bus
87,38.754526,-77.271186,RESERVATION DR + ELK DR,5000015,18H,bus,bus
88,38.754671,-77.271213,RESERVATION DR + ELK DR,5000016,18H,bus,bus
89,38.754816,-76.967738,ALLENTOWN RD + OLD ALLENTOWN RD,3000147,W13,bus,bus
89,38.754816,-76.967738,ALLENTOWN RD + OLD ALLENTOWN RD,3000147,W13v1,bus,bus
89,38.754816,-76.967738,ALLENTOWN RD + OLD ALLENTOWN RD,3000147,W14,bus,bus
90,38.755324,-77.276601,FAIRFAX COUNTY PKY + LEE CHAPEL RD,5000017,18R,bus,bus
91,38.755818,-77.236052,HOOES RD + SHADY PALM DR,5000018,18R,bus,bus
92,38.756198,-77.269883,RESERVATION DR + CANTERING PL,5000019,18H,bus,bus
93,38.756143,-77.270046,RESERVATION DR + CANTERING PL,5000020,18H,bus,bus
94,38.756654,-77.234133,HOOES RD + SCARBOROUGH ST,5000021,18R,bus,bus
95,38.756729,-77.235642,HOOES RD + ADRIENNE GLEN AVE,5000022,18R,bus,bus
96,38.75737,-77.233891,HOOES RD + LINDEN TREE LN,5000023,18R,bus,bus
97,38.757514,-77.271132,RESERVATION DR + RETRIEVER RD,5000024,18H,bus,bus
98,38.757649,-77.250703,ARLEY DR + REDBRIDGE CT,5000025,18H,bus,bus
99,38.757762,-77.271349,RESERVATION DR + RETRIEVER RD,5000026,18H,bus,bus
